Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type,From_latitude,From_longitude,To_latitude,To_longitude
24/12/2024,PA006,Tokyo,London,Premium Economy,"1,710.00",No,0,Vegan,35.6821936,139.762221,51.5074456,-0.1277653
19/05/2024,PA004,Perth,London,Business Class,811.20,No,1,Vegetarian,-31.9558933,115.8605855,51.5074456,-0.1277653
21/03/2024,PA002,New York,London,First Class,230.00,No,3,Nut Free,40.7127281,-74.0060152,51.5074456,-0.1277653
06/10/2024,PA001,London,New York,Business Class,349.20,No,2,,51.5074456,-0.1277653,40.7127281,-74.0060152
06/01/2024,PA008,Perth,New York,Premium Economy,820.00,No,3,,-31.9558933,115.8605855,40.7127281,-74.0060152
01/06/2024,PA006,Tokyo,London,First Class,416.00,No,2,Vegan,35.6821936,139.762221,51.5074456,-0.1277653
06/11/2024,PA001,London,New York,Business Class,546.00,No,1,Dairy Free,51.5074456,-0.1277653,40.7127281,-74.0060152
16/03/2024,PA011,Perth,Tokyo,Economy,"3,210.00",No,0,Nut Free,-31.9558933,115.8605855,35.6821936,139.762221
16/05/2024,PA009,New York,Tokyo,Economy,"1,540.00",No,3,Vegan,40.7127281,-74.0060152,35.6821936,139.762221
09/05/2024,PA012,Tokyo,Perth,Economy,"3,325.00",No,1,Egg Free,35.6821936,139.762221,-31.9558933,115.8605855
23/05/2024,PA004,Perth,London,Economy,"3,375.00",No,2,Vegan,-31.9558933,115.8605855,51.5074456,-0.1277653
18/12/2024,PA002,New York,London,Economy,"2,910.00",No,2,Egg Free,40.7127281,-74.0060152,51.5074456,-0.1277653
02/02/2024,PA012,Tokyo,Perth,Economy,"3,155.00",No,2,Egg Free,35.6821936,139.762221,-31.9558933,115.8605855
20/10/2024,PA002,New York,London,Premium Economy,"1,547.50",No,3,Egg Free,40.7127281,-74.0060152,51.5074456,-0.1277653
26/11/2024,PA006,Tokyo,London,Economy,"1,550.00",No,1,Egg Free,35.6821936,139.762221,51.5074456,-0.1277653
04/11/2024,PA008,Perth,New York,Business Class,764.40,No,0,Vegan,-31.9558933,115.8605855,40.7127281,-74.0060152
14/09/2024,PA003,London,Perth,Business Class,654.00,No,0,Vegan,51.5074456,-0.1277653,-31.9558933,115.8605855
17/03/2024,PA004,Perth,London,Premium Economy,"1,230.00",No,0,Dairy Free,-31.9558933,115.8605855,51.5074456,-0.1277653
31/12/2024,PA006,Tokyo,London,Business Class,783.60,No,1,Nut Free,35.6821936,139.762221,51.5074456,-0.1277653
13/05/2024,PA010,Tokyo,New York,First Class,493.00,No,3,Vegetarian,35.6821936,139.762221,40.7127281,-74.0060152
07/08/2024,PA004,Perth,London,Economy,"2,025.00",No,3,Vegan,-31.9558933,115.8605855,51.5074456,-0.1277653
05/12/2024,PA007,New York,Perth,First Class,523.00,No,3,,40.7127281,-74.0060152,-31.9558933,115.8605855
29/11/2024,PA010,Tokyo,New York,Business Class,325.20,No,0,Vegan,35.6821936,139.762221,40.7127281,-74.0060152
30/05/2024,PA003,London,Perth,Business Class,828.00,No,0,Vegetarian,51.5074456,-0.1277653,-31.9558933,115.8605855
06/03/2024,PA010,Tokyo,New York,First Class,563.00,No,3,Dairy Free,35.6821936,139.762221,40.7127281,-74.0060152
21/04/2024,PA001,London,New York,First Class,202.00,No,2,Nut Free,51.5074456,-0.1277653,40.7127281,-74.0060152
07/08/2024,PA006,Tokyo,London,First Class,468.00,No,3,Egg Free,35.6821936,139.762221,51.5074456,-0.1277653
05/05/2024,PA002,New York,London,Premium Economy,850.00,No,3,Vegan,40.7127281,-74.0060152,51.5074456,-0.1277653
10/06/2024,PA004,Perth,London,Economy,"1,710.00",No,0,Vegetarian,-31.9558933,115.8605855,51.5074456,-0.1277653
11/05/2024,PA009,New York,Tokyo,Premium Economy,"1,497.50",No,3,Vegan,40.7127281,-74.0060152,35.6821936,139.762221
21/11/2024,PA007,New York,Perth,Business Class,715.20,No,3,Egg Free,40.7127281,-74.0060152,-31.9558933,115.8605855
12/06/2024,PA007,New York,Perth,Premium Economy,817.50,No,3,Dairy Free,40.7127281,-74.0060152,-31.9558933,115.8605855
14/10/2024,PA005,London,Tokyo,Economy,"1,490.00",No,1,Vegan,51.5074456,-0.1277653,35.6821936,139.762221
31/03/2024,PA010,Tokyo,New York,Premium Economy,"1,282.50",No,3,Nut Free,35.6821936,139.762221,40.7127281,-74.0060152
14/02/2024,PA009,New York,Tokyo,First Class,473.00,No,1,Egg Free,40.7127281,-74.0060152,35.6821936,139.762221
04/09/2024,PA012,Tokyo,Perth,Premium Economy,"1,177.50",No,1,Dairy Free,35.6821936,139.762221,-31.9558933,115.8605855
29/06/2024,PA005,London,Tokyo,Business Class,639.60,No,3,Egg Free,51.5074456,-0.1277653,35.6821936,139.762221
18/06/2024,PA004,Perth,London,First Class,443.00,No,0,Dairy Free,-31.9558933,115.8605855,51.5074456,-0.1277653
04/08/2024,PA006,Tokyo,London,Business Class,832.80,No,2,Nut Free,35.6821936,139.762221,51.5074456,-0.1277653
03/08/2024,PA005,London,Tokyo,First Class,590.00,No,0,Nut Free,51.5074456,-0.1277653,35.6821936,139.762221
02/03/2024,PA003,London,Perth,Business Class,439.20,No,1,Dairy Free,51.5074456,-0.1277653,-31.9558933,115.8605855
07/07/2024,PA004,Perth,London,Business Class,242.40,No,0,Nut Free,-31.9558933,115.8605855,51.5074456,-0.1277653
18/10/2024,PA010,Tokyo,New York,Premium Economy,"1,642.50",No,0,Nut Free,35.6821936,139.762221,40.7127281,-74.0060152
10/07/2024,PA012,Tokyo,Perth,First Class,287.00,No,1,Nut Free,35.6821936,139.762221,-31.9558933,115.8605855
15/06/2024,PA009,New York,Tokyo,First Class,500.00,No,3,Vegetarian,40.7127281,-74.0060152,35.6821936,139.762221
02/03/2024,PA006,Tokyo,London,Economy,"3,070.00",No,3,Egg Free,35.6821936,139.762221,51.5074456,-0.1277653
17/03/2024,PA012,Tokyo,Perth,Premium Economy,587.50,No,3,Vegetarian,35.6821936,139.762221,-31.9558933,115.8605855
28/10/2024,PA012,Tokyo,Perth,Economy,"1,235.00",No,1,Nut Free,35.6821936,139.762221,-31.9558933,115.8605855
06/11/2024,PA001,London,New York,Premium Economy,"1,270.00",No,1,,51.5074456,-0.1277653,40.7127281,-74.0060152
13/08/2024,PA004,Perth,London,Premium Economy,735.00,No,2,Nut Free,-31.9558933,115.8605855,51.5074456,-0.1277653
22/05/2024,PA007,New York,Perth,Economy,"2,645.00",No,3,Dairy Free,40.7127281,-74.0060152,-31.9558933,115.8605855
18/05/2024,PA008,Perth,New York,Business Class,271.20,No,3,Egg Free,-31.9558933,115.8605855,40.7127281,-74.0060152
01/04/2024,PA005,London,Tokyo,Premium Economy,"1,597.50",No,3,Egg Free,51.5074456,-0.1277653,35.6821936,139.762221
20/07/2024,PA006,Tokyo,London,First Class,215.00,No,3,,35.6821936,139.762221,51.5074456,-0.1277653
15/02/2024,PA012,Tokyo,Perth,First Class,208.00,No,0,Vegan,35.6821936,139.762221,-31.9558933,115.8605855
08/02/2024,PA009,New York,Tokyo,Premium Economy,610.00,No,3,Nut Free,40.7127281,-74.0060152,35.6821936,139.762221
05/03/2024,PA001,London,New York,Economy,"2,685.00",No,3,Dairy Free,51.5074456,-0.1277653,40.7127281,-74.0060152
17/06/2024,PA004,Perth,London,Premium Economy,"1,487.50",No,0,Dairy Free,-31.9558933,115.8605855,51.5074456,-0.1277653
08/09/2024,PA005,London,Tokyo,Business Class,422.40,No,0,Dairy Free,51.5074456,-0.1277653,35.6821936,139.762221
01/10/2024,PA005,London,Tokyo,Economy,"1,225.00",No,0,Vegetarian,51.5074456,-0.1277653,35.6821936,139.762221
10/09/2024,PA006,Tokyo,London,First Class,670.00,No,1,Dairy Free,35.6821936,139.762221,51.5074456,-0.1277653
25/05/2024,PA001,London,New York,Economy,"1,745.00",No,1,Dairy Free,51.5074456,-0.1277653,40.7127281,-74.0060152
27/09/2024,PA008,Perth,New York,Economy,"1,770.00",No,0,Nut Free,-31.9558933,115.8605855,40.7127281,-74.0060152
08/10/2024,PA008,Perth,New York,Economy,"3,090.00",No,0,Dairy Free,-31.9558933,115.8605855,40.7127281,-74.0060152
15/11/2024,PA003,London,Perth,Premium Economy,735.00,No,0,Vegan,51.5074456,-0.1277653,-31.9558933,115.8605855
29/01/2024,PA004,Perth,London,Business Class,435.60,No,2,Egg Free,-31.9558933,115.8605855,51.5074456,-0.1277653
26/01/2024,PA001,London,New York,First Class,381.00,No,2,Vegan,51.5074456,-0.1277653,40.7127281,-74.0060152
20/04/2024,PA003,London,Perth,Business Class,688.80,No,2,Egg Free,51.5074456,-0.1277653,-31.9558933,115.8605855
12/08/2024,PA005,London,Tokyo,Economy,"1,050.00",No,1,,51.5074456,-0.1277653,35.6821936,139.762221
04/07/2024,PA003,London,Perth,Premium Economy,"1,307.50",No,0,Vegetarian,51.5074456,-0.1277653,-31.9558933,115.8605855
01/04/2024,PA001,London,New York,Business Class,512.40,No,1,Egg Free,51.5074456,-0.1277653,40.7127281,-74.0060152
21/04/2024,PA004,Perth,London,Business Class,679.20,No,3,Nut Free,-31.9558933,115.8605855,51.5074456,-0.1277653
30/01/2024,PA004,Perth,London,Business Class,246.00,No,0,Vegetarian,-31.9558933,115.8605855,51.5074456,-0.1277653
11/02/2024,PA005,London,Tokyo,Premium Economy,"1,567.50",No,1,Dairy Free,51.5074456,-0.1277653,35.6821936,139.762221
17/11/2024,PA009,New York,Tokyo,First Class,340.00,No,1,Nut Free,40.7127281,-74.0060152,35.6821936,139.762221
08/08/2024,PA012,Tokyo,Perth,First Class,426.00,No,1,Vegetarian,35.6821936,139.762221,-31.9558933,115.8605855
20/12/2024,PA002,New York,London,Business Class,574.80,No,3,Dairy Free,40.7127281,-74.0060152,51.5074456,-0.1277653
02/07/2024,PA006,Tokyo,London,First Class,522.00,No,3,Dairy Free,35.6821936,139.762221,51.5074456,-0.1277653
25/10/2024,PA010,Tokyo,New York,Economy,"1,170.00",No,3,Egg Free,35.6821936,139.762221,40.7127281,-74.0060152
18/11/2024,PA005,London,Tokyo,Economy,"3,305.00",No,0,Vegetarian,51.5074456,-0.1277653,35.6821936,139.762221
02/06/2024,PA011,Perth,Tokyo,Premium Economy,"1,177.50",No,3,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
09/08/2024,PA009,New York,Tokyo,First Class,612.00,No,3,Nut Free,40.7127281,-74.0060152,35.6821936,139.762221
24/08/2024,PA010,Tokyo,New York,Economy,"2,145.00",No,2,,35.6821936,139.762221,40.7127281,-74.0060152
11/11/2024,PA008,Perth,New York,Economy,"2,980.00",No,1,Vegetarian,-31.9558933,115.8605855,40.7127281,-74.0060152
02/11/2024,PA011,Perth,Tokyo,First Class,441.00,No,1,Vegan,-31.9558933,115.8605855,35.6821936,139.762221
06/04/2024,PA011,Perth,Tokyo,Premium Economy,960.00,No,2,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
03/01/2024,PA007,New York,Perth,Economy,"3,300.00",No,1,,40.7127281,-74.0060152,-31.9558933,115.8605855
02/01/2024,PA009,New York,Tokyo,Business Class,793.20,No,0,Vegetarian,40.7127281,-74.0060152,35.6821936,139.762221
17/09/2024,PA006,Tokyo,London,Business Class,543.60,No,0,,35.6821936,139.762221,51.5074456,-0.1277653
11/03/2024,PA009,New York,Tokyo,Business Class,446.40,No,2,,40.7127281,-74.0060152,35.6821936,139.762221
11/10/2024,PA002,New York,London,Business Class,602.40,No,2,Egg Free,40.7127281,-74.0060152,51.5074456,-0.1277653
31/10/2024,PA011,Perth,Tokyo,Economy,"2,915.00",No,2,Nut Free,-31.9558933,115.8605855,35.6821936,139.762221
25/08/2024,PA001,London,New York,First Class,673.00,No,2,Vegan,51.5074456,-0.1277653,40.7127281,-74.0060152
15/08/2024,PA003,London,Perth,Premium Economy,555.00,No,0,Dairy Free,51.5074456,-0.1277653,-31.9558933,115.8605855
18/10/2024,PA009,New York,Tokyo,Premium Economy,"1,372.50",No,1,,40.7127281,-74.0060152,35.6821936,139.762221
20/03/2024,PA008,Perth,New York,First Class,357.00,No,2,Nut Free,-31.9558933,115.8605855,40.7127281,-74.0060152
12/01/2024,PA008,Perth,New York,Business Class,601.20,No,3,Vegetarian,-31.9558933,115.8605855,40.7127281,-74.0060152
13/06/2024,PA003,London,Perth,Premium Economy,"1,382.50",No,1,Vegan,51.5074456,-0.1277653,-31.9558933,115.8605855
01/04/2024,PA007,New York,Perth,First Class,359.00,No,2,Nut Free,40.7127281,-74.0060152,-31.9558933,115.8605855
22/03/2024,PA010,Tokyo,New York,Premium Economy,"1,135.00",No,0,Dairy Free,35.6821936,139.762221,40.7127281,-74.0060152
18/01/2024,PA010,Tokyo,New York,First Class,415.00,No,2,Vegetarian,35.6821936,139.762221,40.7127281,-74.0060152
12/12/2024,PA006,Tokyo,London,Economy,"1,640.00",No,0,Egg Free,35.6821936,139.762221,51.5074456,-0.1277653
07/12/2024,PA009,New York,Tokyo,First Class,662.00,No,1,Egg Free,40.7127281,-74.0060152,35.6821936,139.762221
03/11/2024,PA012,Tokyo,Perth,First Class,242.00,No,2,,35.6821936,139.762221,-31.9558933,115.8605855
22/09/2024,PA009,New York,Tokyo,Economy,"1,690.00",No,1,Dairy Free,40.7127281,-74.0060152,35.6821936,139.762221
07/06/2024,PA007,New York,Perth,Premium Economy,570.00,No,3,Egg Free,40.7127281,-74.0060152,-31.9558933,115.8605855
24/06/2024,PA012,Tokyo,Perth,Premium Economy,"1,597.50",No,3,Vegetarian,35.6821936,139.762221,-31.9558933,115.8605855
06/04/2024,PA005,London,Tokyo,Economy,"2,465.00",No,2,Vegan,51.5074456,-0.1277653,35.6821936,139.762221
11/09/2024,PA007,New York,Perth,Business Class,602.40,No,2,Vegetarian,40.7127281,-74.0060152,-31.9558933,115.8605855
30/08/2024,PA002,New York,London,Economy,"3,095.00",No,0,Egg Free,40.7127281,-74.0060152,51.5074456,-0.1277653
05/11/2024,PA002,New York,London,First Class,652.00,No,1,Vegan,40.7127281,-74.0060152,51.5074456,-0.1277653
07/08/2024,PA010,Tokyo,New York,Business Class,392.40,No,2,Nut Free,35.6821936,139.762221,40.7127281,-74.0060152
03/06/2024,PA007,New York,Perth,Premium Economy,"1,390.00",No,1,Vegan,40.7127281,-74.0060152,-31.9558933,115.8605855
21/11/2024,PA003,London,Perth,First Class,599.00,No,2,Vegetarian,51.5074456,-0.1277653,-31.9558933,115.8605855
16/02/2024,PA009,New York,Tokyo,Premium Economy,675.00,No,1,,40.7127281,-74.0060152,35.6821936,139.762221
30/05/2024,PA007,New York,Perth,Business Class,417.60,No,2,,40.7127281,-74.0060152,-31.9558933,115.8605855
27/12/2024,PA012,Tokyo,Perth,First Class,606.00,No,2,Vegan,35.6821936,139.762221,-31.9558933,115.8605855
31/10/2024,PA008,Perth,New York,Economy,"1,785.00",No,0,Egg Free,-31.9558933,115.8605855,40.7127281,-74.0060152
14/02/2024,PA007,New York,Perth,Business Class,408.00,No,2,Vegetarian,40.7127281,-74.0060152,-31.9558933,115.8605855
24/08/2024,PA003,London,Perth,First Class,294.00,No,3,Vegan,51.5074456,-0.1277653,-31.9558933,115.8605855
22/11/2024,PA012,Tokyo,Perth,Business Class,598.80,No,2,Dairy Free,35.6821936,139.762221,-31.9558933,115.8605855
27/03/2024,PA003,London,Perth,Business Class,756.00,No,3,Egg Free,51.5074456,-0.1277653,-31.9558933,115.8605855
30/04/2024,PA012,Tokyo,Perth,Economy,"1,600.00",No,1,Nut Free,35.6821936,139.762221,-31.9558933,115.8605855
06/09/2024,PA006,Tokyo,London,First Class,489.00,No,0,Vegetarian,35.6821936,139.762221,51.5074456,-0.1277653
01/02/2024,PA005,London,Tokyo,Premium Economy,"1,480.00",No,2,Vegetarian,51.5074456,-0.1277653,35.6821936,139.762221
25/11/2024,PA012,Tokyo,Perth,Premium Economy,"1,432.50",No,3,Egg Free,35.6821936,139.762221,-31.9558933,115.8605855
12/05/2024,PA012,Tokyo,Perth,Business Class,744.00,No,2,Dairy Free,35.6821936,139.762221,-31.9558933,115.8605855
16/07/2024,PA010,Tokyo,New York,Economy,"1,460.00",No,1,Vegetarian,35.6821936,139.762221,40.7127281,-74.0060152
19/08/2024,PA006,Tokyo,London,Economy,"2,000.00",No,3,Vegetarian,35.6821936,139.762221,51.5074456,-0.1277653
01/08/2024,PA011,Perth,Tokyo,Business Class,452.40,No,3,,-31.9558933,115.8605855,35.6821936,139.762221
28/12/2024,PA001,London,New York,Economy,"1,105.00",No,2,Vegan,51.5074456,-0.1277653,40.7127281,-74.0060152
02/11/2024,PA006,Tokyo,London,Economy,"2,225.00",No,2,Egg Free,35.6821936,139.762221,51.5074456,-0.1277653
25/09/2024,PA007,New York,Perth,Premium Economy,522.50,No,0,Nut Free,40.7127281,-74.0060152,-31.9558933,115.8605855
01/07/2024,PA012,Tokyo,Perth,Business Class,655.20,No,3,Nut Free,35.6821936,139.762221,-31.9558933,115.8605855
20/12/2024,PA004,Perth,London,Business Class,760.80,No,0,Nut Free,-31.9558933,115.8605855,51.5074456,-0.1277653
24/07/2024,PA005,London,Tokyo,Business Class,246.00,No,1,Nut Free,51.5074456,-0.1277653,35.6821936,139.762221
25/12/2024,PA002,New York,London,Economy,"2,905.00",No,3,,40.7127281,-74.0060152,51.5074456,-0.1277653
18/08/2024,PA005,London,Tokyo,Economy,"1,975.00",No,1,Vegan,51.5074456,-0.1277653,35.6821936,139.762221
12/01/2024,PA011,Perth,Tokyo,Business Class,780.00,No,1,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
03/12/2024,PA011,Perth,Tokyo,Premium Economy,945.00,No,1,Egg Free,-31.9558933,115.8605855,35.6821936,139.762221
30/12/2024,PA011,Perth,Tokyo,Premium Economy,745.00,No,2,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
06/05/2024,PA004,Perth,London,First Class,318.00,No,1,Vegan,-31.9558933,115.8605855,51.5074456,-0.1277653
09/10/2024,PA007,New York,Perth,Premium Economy,875.00,No,1,Vegetarian,40.7127281,-74.0060152,-31.9558933,115.8605855
17/02/2024,PA008,Perth,New York,Economy,"1,340.00",No,3,Vegetarian,-31.9558933,115.8605855,40.7127281,-74.0060152
27/10/2024,PA005,London,Tokyo,First Class,683.00,No,0,Egg Free,51.5074456,-0.1277653,35.6821936,139.762221
18/06/2024,PA001,London,New York,Business Class,280.80,No,0,,51.5074456,-0.1277653,40.7127281,-74.0060152
05/12/2024,PA009,New York,Tokyo,Business Class,799.20,No,2,,40.7127281,-74.0060152,35.6821936,139.762221
31/12/2024,PA010,Tokyo,New York,Premium Economy,690.00,No,3,Vegetarian,35.6821936,139.762221,40.7127281,-74.0060152
08/02/2024,PA006,Tokyo,London,Business Class,534.00,No,3,Vegetarian,35.6821936,139.762221,51.5074456,-0.1277653
21/02/2024,PA004,Perth,London,First Class,317.00,No,0,,-31.9558933,115.8605855,51.5074456,-0.1277653
01/05/2024,PA011,Perth,Tokyo,Economy,"2,780.00",No,0,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
10/10/2024,PA009,New York,Tokyo,Business Class,718.80,No,0,Vegan,40.7127281,-74.0060152,35.6821936,139.762221
05/07/2024,PA007,New York,Perth,Business Class,838.80,No,1,Nut Free,40.7127281,-74.0060152,-31.9558933,115.8605855
10/02/2024,PA005,London,Tokyo,Business Class,574.80,No,1,Vegan,51.5074456,-0.1277653,35.6821936,139.762221
09/06/2024,PA001,London,New York,Premium Economy,"1,045.00",No,0,,51.5074456,-0.1277653,40.7127281,-74.0060152
04/02/2024,PA005,London,Tokyo,Business Class,328.80,No,3,Dairy Free,51.5074456,-0.1277653,35.6821936,139.762221
12/07/2024,PA004,Perth,London,Economy,"2,430.00",No,3,Egg Free,-31.9558933,115.8605855,51.5074456,-0.1277653
08/02/2024,PA008,Perth,New York,Business Class,506.40,No,2,Nut Free,-31.9558933,115.8605855,40.7127281,-74.0060152
21/10/2024,PA008,Perth,New York,Premium Economy,"1,677.50",No,1,Vegan,-31.9558933,115.8605855,40.7127281,-74.0060152
20/04/2024,PA003,London,Perth,Economy,"2,030.00",No,2,Vegetarian,51.5074456,-0.1277653,-31.9558933,115.8605855
26/06/2024,PA004,Perth,London,Business Class,632.40,No,3,,-31.9558933,115.8605855,51.5074456,-0.1277653
31/12/2024,PA001,London,New York,First Class,598.00,No,1,Nut Free,51.5074456,-0.1277653,40.7127281,-74.0060152
24/10/2024,PA002,New York,London,First Class,691.00,No,3,Dairy Free,40.7127281,-74.0060152,51.5074456,-0.1277653
25/06/2024,PA009,New York,Tokyo,First Class,224.00,No,1,Vegan,40.7127281,-74.0060152,35.6821936,139.762221
27/10/2024,PA012,Tokyo,Perth,Premium Economy,"1,357.50",No,0,Vegan,35.6821936,139.762221,-31.9558933,115.8605855
23/04/2024,PA004,Perth,London,First Class,276.00,No,3,Dairy Free,-31.9558933,115.8605855,51.5074456,-0.1277653
21/10/2024,PA010,Tokyo,New York,Premium Economy,"1,125.00",No,1,,35.6821936,139.762221,40.7127281,-74.0060152
20/03/2024,PA005,London,Tokyo,Premium Economy,"1,577.50",No,3,,51.5074456,-0.1277653,35.6821936,139.762221
10/05/2024,PA010,Tokyo,New York,Economy,"1,820.00",No,2,Dairy Free,35.6821936,139.762221,40.7127281,-74.0060152
19/03/2024,PA012,Tokyo,Perth,Economy,"2,145.00",No,1,Vegan,35.6821936,139.762221,-31.9558933,115.8605855
30/10/2024,PA011,Perth,Tokyo,Economy,"2,500.00",No,1,Dairy Free,-31.9558933,115.8605855,35.6821936,139.762221
05/07/2024,PA004,Perth,London,Premium Economy,"1,242.50",No,0,Vegan,-31.9558933,115.8605855,51.5074456,-0.1277653
20/04/2024,PA009,New York,Tokyo,Economy,"2,535.00",No,2,Nut Free,40.7127281,-74.0060152,35.6821936,139.762221
28/11/2024,PA009,New York,Tokyo,Business Class,240.00,No,3,Dairy Free,40.7127281,-74.0060152,35.6821936,139.762221
16/08/2024,PA011,Perth,Tokyo,Economy,"1,810.00",No,3,Vegetarian,-31.9558933,115.8605855,35.6821936,139.762221
29/12/2024,PA005,London,Tokyo,Business Class,745.20,No,0,Vegetarian,51.5074456,-0.1277653,35.6821936,139.762221
01/06/2024,PA012,Tokyo,Perth,First Class,368.00,No,0,Dairy Free,35.6821936,139.762221,-31.9558933,115.8605855
26/08/2024,PA009,New York,Tokyo,Premium Economy,"1,452.50",No,3,,40.7127281,-74.0060152,35.6821936,139.762221
25/05/2024,PA006,Tokyo,London,First Class,336.00,No,2,Dairy Free,35.6821936,139.762221,51.5074456,-0.1277653
11/11/2024,PA001,London,New York,Premium Economy,"1,680.00",No,3,Vegan,51.5074456,-0.1277653,40.7127281,-74.0060152
04/04/2024,PA010,Tokyo,New York,First Class,266.00,No,1,Dairy Free,35.6821936,139.762221,40.7127281,-74.0060152
24/10/2024,PA003,London,Perth,Economy,"3,235.00",No,2,Nut Free,51.5074456,-0.1277653,-31.9558933,115.8605855
27/06/2024,PA011,Perth,Tokyo,First Class,358.00,No,0,Vegan,-31.9558933,115.8605855,35.6821936,139.762221
08/08/2024,PA011,Perth,Tokyo,Business Class,258.00,No,3,Egg Free,-31.9558933,115.8605855,35.6821936,139.762221
10/08/2024,PA011,Perth,Tokyo,Premium Economy,"1,512.50",No,0,Nut Free,-31.9558933,115.8605855,35.6821936,139.762221
13/05/2024,PA009,New York,Tokyo,Premium Economy,"1,160.00",No,3,,40.7127281,-74.0060152,35.6821936,139.762221
05/04/2024,PA012,Tokyo,Perth,First Class,336.00,No,1,Nut Free,35.6821936,139.762221,-31.9558933,115.8605855
22/06/2024,PA007,New York,Perth,Premium Economy,"1,127.50",No,1,Egg Free,40.7127281,-74.0060152,-31.9558933,115.8605855
13/09/2024,PA001,London,New York,Economy,"2,270.00",No,3,Vegan,51.5074456,-0.1277653,40.7127281,-74.0060152
26/02/2024,PA002,New York,London,Premium Economy,"1,382.50",No,3,Vegan,40.7127281,-74.0060152,51.5074456,-0.1277653
03/04/2024,PA008,Perth,New York,First Class,548.00,No,3,Vegan,-31.9558933,115.8605855,40.7127281,-74.0060152
06/06/2024,PA004,Perth,London,Economy,"3,120.00",No,3,Egg Free,-31.9558933,115.8605855,51.5074456,-0.1277653
27/12/2024,PA001,London,New York,Economy,"1,390.00",No,3,Vegetarian,51.5074456,-0.1277653,40.7127281,-74.0060152
