flight number,flight date,customer id,action,date,class,row,seat,total seats booked over time,capacity,capacity %
PA003,2024-03-06,7291.0,Seat Changed,2024-02-14,Premium Economy,19.0,2.0,12.0,64,0.1875
PA003,2024-03-06,3686.0,Seat Changed,2024-02-19,Premium Economy,26.0,8.0,13.0,64,0.203125
PA003,2024-03-06,1587.0,Seat Changed,2024-02-22,Premium Economy,21.0,4.0,14.0,64,0.21875
PA003,2024-03-06,2714.0,Seat Changed,2024-02-28,Premium Economy,25.0,7.0,15.0,64,0.234375
PA003,2024-03-06,3809.0,Seat Changed,2024-02-28,Premium Economy,23.0,1.0,16.0,64,0.25
PA003,2024-03-06,8872.0,Seat Changed,2024-02-28,Premium Economy,20.0,7.0,17.0,64,0.265625
PA003,2024-03-06,656.0,Upgraded,2024-03-06,Premium Economy,19.0,7.0,18.0,64,0.28125
PA003,2024-03-06,1891.0,Seat Changed,2024-03-06,Premium Economy,24.0,6.0,19.0,64,0.296875
PA004,2024-03-17,,,,Business,,,0.0,40,0.0
PA004,2024-03-17,5088.0,Booked,2023-12-12,Economy,42.0,2.0,1.0,160,0.00625
PA004,2024-03-17,2195.0,Seat Changed,2023-12-17,Economy,27.0,10.0,2.0,160,0.0125
PA004,2024-03-17,3575.0,Seat Changed,2023-12-17,Economy,33.0,9.0,3.0,160,0.01875
PA004,2024-03-17,8433.0,Seat Changed,2023-12-24,Economy,38.0,3.0,4.0,160,0.025
PA004,2024-03-17,7164.0,Seat Changed,2023-12-26,Economy,42.0,7.0,5.0,160,0.03125
PA004,2024-03-17,2957.0,Booked,2023-12-30,Economy,28.0,10.0,6.0,160,0.0375
PA004,2024-03-17,185.0,Booked,2024-01-22,Economy,40.0,4.0,7.0,160,0.04375
PA004,2024-03-17,1675.0,Booked,2024-02-13,Economy,38.0,9.0,8.0,160,0.05
PA004,2024-03-17,9750.0,Seat Changed,2024-02-13,Economy,35.0,10.0,9.0,160,0.05625
PA004,2024-03-17,407.0,Seat Changed,2024-02-25,Economy,40.0,6.0,10.0,160,0.0625
PA004,2024-03-17,4438.0,Seat Changed,2024-03-14,Economy,33.0,7.0,11.0,160,0.06875
PA004,2024-03-17,,,,First,,,0.0,32,0.0
PA004,2024-03-17,3539.0,Upgraded,2023-12-10,Premium Economy,20.0,7.0,1.0,64,0.015625
PA004,2024-03-17,2016.0,Seat Changed,2024-02-07,Premium Economy,19.0,4.0,2.0,64,0.03125
PA004,2024-03-17,9501.0,Upgraded,2024-03-12,Premium Economy,26.0,3.0,3.0,64,0.046875
PA005,2024-03-22,7184.0,Upgraded,2024-02-05,Business,14.0,2.0,1.0,40,0.025
PA005,2024-03-22,5156.0,Booked,2023-12-01,Economy,35.0,1.0,1.0,160,0.00625
PA005,2024-03-22,1962.0,Seat Changed,2023-12-19,Economy,42.0,5.0,2.0,160,0.0125
PA005,2024-03-22,2355.0,Seat Changed,2023-12-24,Economy,41.0,9.0,3.0,160,0.01875
PA005,2024-03-22,7650.0,Seat Changed,2023-12-29,Economy,30.0,10.0,4.0,160,0.025
PA005,2024-03-22,5045.0,Seat Changed,2023-12-31,Economy,31.0,8.0,5.0,160,0.03125
PA005,2024-03-22,1113.0,Seat Changed,2024-01-06,Economy,30.0,3.0,6.0,160,0.0375
PA005,2024-03-22,3703.0,Seat Changed,2024-01-10,Economy,29.0,6.0,7.0,160,0.04375
PA005,2024-03-22,549.0,Booked,2024-01-23,Economy,42.0,5.0,8.0,160,0.05
PA005,2024-03-22,652.0,Seat Changed,2024-01-26,Economy,30.0,10.0,9.0,160,0.05625
PA005,2024-03-22,1332.0,Seat Changed,2024-01-26,Economy,30.0,3.0,10.0,160,0.0625
PA005,2024-03-22,8729.0,Seat Changed,2024-01-28,Economy,35.0,9.0,11.0,160,0.06875
PA005,2024-03-22,4196.0,Seat Changed,2024-02-02,Economy,36.0,4.0,12.0,160,0.075
PA005,2024-03-22,7099.0,Seat Changed,2024-02-03,Economy,32.0,10.0,13.0,160,0.08125
PA005,2024-03-22,9504.0,Booked,2024-02-04,Economy,30.0,7.0,14.0,160,0.0875
PA005,2024-03-22,8075.0,Seat Changed,2024-02-08,Economy,34.0,5.0,15.0,160,0.09375
PA005,2024-03-22,5372.0,Seat Changed,2024-02-09,Economy,41.0,10.0,16.0,160,0.1
PA005,2024-03-22,7068.0,Seat Changed,2024-02-10,Economy,37.0,2.0,17.0,160,0.10625
PA005,2024-03-22,4324.0,Seat Changed,2024-02-12,Economy,37.0,5.0,18.0,160,0.1125
PA005,2024-03-22,4039.0,Seat Changed,2024-02-19,Economy,28.0,5.0,19.0,160,0.11875
PA005,2024-03-22,9939.0,Booked,2024-02-19,Economy,28.0,1.0,20.0,160,0.125
PA005,2024-03-22,3721.0,Seat Changed,2024-02-29,Economy,38.0,8.0,21.0,160,0.13125
PA005,2024-03-22,5512.0,Seat Changed,2024-03-01,Economy,40.0,2.0,22.0,160,0.1375
PA005,2024-03-22,2774.0,Seat Changed,2024-03-02,Economy,40.0,8.0,23.0,160,0.14375
PA005,2024-03-22,4744.0,Seat Changed,2024-03-02,Economy,37.0,10.0,24.0,160,0.15
PA005,2024-03-22,2204.0,Seat Changed,2024-03-06,Economy,35.0,5.0,25.0,160,0.15625
PA005,2024-03-22,857.0,Seat Changed,2024-03-10,Economy,40.0,9.0,26.0,160,0.1625
PA005,2024-03-22,1193.0,Seat Changed,2024-03-13,Economy,33.0,5.0,27.0,160,0.16875
PA005,2024-03-22,7094.0,Seat Changed,2024-03-20,Economy,37.0,3.0,28.0,160,0.175
PA005,2024-03-22,373.0,Seat Changed,2024-03-22,Economy,42.0,1.0,29.0,160,0.18125
PA005,2024-03-22,,,,First,,,0.0,32,0.0
PA005,2024-03-22,8311.0,Upgraded,2023-12-09,Premium Economy,21.0,2.0,1.0,64,0.015625
PA005,2024-03-22,961.0,Upgraded,2023-12-27,Premium Economy,26.0,7.0,2.0,64,0.03125
PA005,2024-03-22,9682.0,Upgraded,2024-01-06,Premium Economy,26.0,1.0,3.0,64,0.046875
PA005,2024-03-22,389.0,Upgraded,2024-01-27,Premium Economy,26.0,1.0,4.0,64,0.0625
PA005,2024-03-22,4290.0,Seat Changed,2024-02-06,Premium Economy,26.0,4.0,5.0,64,0.078125
PA005,2024-03-22,3625.0,Upgraded,2024-02-10,Premium Economy,22.0,1.0,6.0,64,0.09375
PA005,2024-03-22,8082.0,Seat Changed,2024-02-20,Premium Economy,25.0,7.0,7.0,64,0.109375
PA005,2024-03-22,2847.0,Upgraded,2024-02-23,Premium Economy,25.0,8.0,8.0,64,0.125
PA005,2024-03-22,3119.0,Seat Changed,2024-02-24,Premium Economy,19.0,1.0,9.0,64,0.140625
PA005,2024-03-22,6887.0,Upgraded,2024-02-29,Premium Economy,24.0,2.0,10.0,64,0.15625
PA005,2024-03-22,134.0,Seat Changed,2024-03-10,Premium Economy,22.0,6.0,11.0,64,0.171875
PA005,2024-03-22,73.0,Seat Changed,2024-03-14,Premium Economy,25.0,5.0,12.0,64,0.1875
PA006,2024-03-27,6887.0,Upgraded,2024-03-20,Business,18.0,2.0,1.0,40,0.025
PA006,2024-03-27,778.0,Upgraded,2024-03-25,Business,16.0,3.0,2.0,40,0.05
PA006,2024-03-27,7072.0,Seat Changed,2023-12-17,Economy,42.0,4.0,1.0,160,0.00625
PA006,2024-03-27,652.0,Seat Changed,2023-12-18,Economy,41.0,4.0,2.0,160,0.0125
PA006,2024-03-27,373.0,Seat Changed,2024-01-14,Economy,28.0,4.0,3.0,160,0.01875
PA006,2024-03-27,3625.0,Seat Changed,2024-01-14,Economy,33.0,1.0,4.0,160,0.025
PA006,2024-03-27,4196.0,Seat Changed,2024-01-28,Economy,38.0,5.0,5.0,160,0.03125
PA006,2024-03-27,8075.0,Seat Changed,2024-01-30,Economy,31.0,6.0,6.0,160,0.0375
PA006,2024-03-27,9504.0,Seat Changed,2024-01-30,Economy,41.0,7.0,7.0,160,0.04375
PA006,2024-03-27,7008.0,Seat Changed,2024-02-12,Economy,36.0,9.0,8.0,160,0.05
PA006,2024-03-27,100.0,Seat Changed,2024-02-17,Economy,33.0,5.0,9.0,160,0.05625
PA006,2024-03-27,5859.0,Seat Changed,2024-03-04,Economy,34.0,6.0,10.0,160,0.0625
PA006,2024-03-27,2720.0,Seat Changed,2024-03-05,Economy,36.0,2.0,11.0,160,0.06875
PA006,2024-03-27,1332.0,Seat Changed,2024-03-07,Economy,32.0,9.0,12.0,160,0.075
PA006,2024-03-27,5045.0,Seat Changed,2024-03-08,Economy,42.0,4.0,13.0,160,0.08125
PA006,2024-03-27,7650.0,Seat Changed,2024-03-09,Economy,37.0,6.0,14.0,160,0.0875
PA006,2024-03-27,7099.0,Seat Changed,2024-03-13,Economy,34.0,6.0,15.0,160,0.09375
PA006,2024-03-27,1962.0,Seat Changed,2024-03-23,Economy,32.0,4.0,16.0,160,0.1
PA006,2024-03-27,,,,First,,,0.0,32,0.0
PA006,2024-03-27,4290.0,Upgraded,2024-01-04,Premium Economy,20.0,3.0,1.0,64,0.015625
PA006,2024-03-27,6009.0,Seat Changed,2024-01-07,Premium Economy,20.0,8.0,2.0,64,0.03125
PA006,2024-03-27,4802.0,Upgraded,2024-01-22,Premium Economy,24.0,4.0,3.0,64,0.046875
PA006,2024-03-27,4713.0,Seat Changed,2024-02-04,Premium Economy,20.0,5.0,4.0,64,0.0625
PA006,2024-03-27,549.0,Upgraded,2024-02-06,Premium Economy,26.0,7.0,5.0,64,0.078125
PA006,2024-03-27,2774.0,Seat Changed,2024-02-16,Premium Economy,19.0,6.0,6.0,64,0.09375
PA006,2024-03-27,2355.0,Upgraded,2024-02-20,Premium Economy,21.0,4.0,7.0,64,0.109375
PA006,2024-03-27,699.0,Upgraded,2024-03-01,Premium Economy,23.0,6.0,8.0,64,0.125
PA006,2024-03-27,4971.0,Upgraded,2024-03-07,Premium Economy,26.0,4.0,9.0,64,0.140625
PA006,2024-03-27,857.0,Upgraded,2024-03-08,Premium Economy,26.0,4.0,10.0,64,0.15625
PA006,2024-03-27,919.0,Seat Changed,2024-03-19,Premium Economy,24.0,5.0,11.0,64,0.171875
PA006,2024-03-27,7430.0,Seat Changed,2024-03-21,Premium Economy,24.0,4.0,12.0,64,0.1875
PA006,2024-03-27,7094.0,Seat Changed,2024-03-25,Premium Economy,21.0,1.0,13.0,64,0.203125
PA006,2024-03-27,9939.0,Upgraded,2024-03-26,Premium Economy,26.0,1.0,14.0,64,0.21875
PA007,2024-03-24,5705.0,Seat Changed,2023-12-19,Business,18.0,2.0,1.0,40,0.025
PA007,2024-03-24,6548.0,Booked,2023-12-27,Business,14.0,2.0,2.0,40,0.05
PA007,2024-03-24,8265.0,Seat Changed,2024-02-08,Business,18.0,2.0,3.0,40,0.075
PA007,2024-03-24,5986.0,Seat Changed,2024-02-26,Business,11.0,4.0,4.0,40,0.1
PA007,2024-03-24,5237.0,Seat Changed,2024-03-04,Business,17.0,4.0,5.0,40,0.125
PA007,2024-03-24,5545.0,Seat Changed,2024-03-06,Business,11.0,3.0,6.0,40,0.15
PA007,2024-03-24,9076.0,Seat Changed,2024-03-07,Business,14.0,3.0,7.0,40,0.175
PA007,2024-03-24,8018.0,Seat Changed,2024-03-16,Business,16.0,4.0,8.0,40,0.2
PA007,2024-03-24,2277.0,Seat Changed,2024-03-19,Business,9.0,4.0,9.0,40,0.225
PA007,2024-03-24,4955.0,Seat Changed,2024-03-24,Business,11.0,1.0,10.0,40,0.25
PA007,2024-03-24,6823.0,Seat Changed,2023-12-23,Economy,40.0,8.0,1.0,160,0.00625
PA007,2024-03-24,8510.0,Seat Changed,2024-02-23,Economy,38.0,5.0,2.0,160,0.0125
PA007,2024-03-24,5424.0,Seat Changed,2024-02-24,Economy,38.0,10.0,3.0,160,0.01875
PA007,2024-03-24,8146.0,Seat Changed,2024-02-29,Economy,27.0,10.0,4.0,160,0.025
PA007,2024-03-24,4481.0,Seat Changed,2024-03-05,Economy,37.0,2.0,5.0,160,0.03125
PA007,2024-03-24,6460.0,Seat Changed,2024-03-09,Economy,34.0,7.0,6.0,160,0.0375
PA007,2024-03-24,4617.0,Seat Changed,2024-03-16,Economy,32.0,7.0,7.0,160,0.04375
PA007,2024-03-24,8381.0,Booked,2023-11-26,First,3.0,4.0,1.0,32,0.03125
PA007,2024-03-24,3964.0,Booked,2023-11-27,First,6.0,3.0,2.0,32,0.0625
PA007,2024-03-24,7622.0,Seat Changed,2023-12-07,First,7.0,1.0,3.0,32,0.09375
PA007,2024-03-24,3381.0,Booked,2023-12-14,First,6.0,2.0,4.0,32,0.125
PA007,2024-03-24,3882.0,Booked,2024-01-01,First,7.0,4.0,5.0,32,0.15625
PA007,2024-03-24,7389.0,Seat Changed,2024-01-03,First,8.0,4.0,6.0,32,0.1875
PA007,2024-03-24,8958.0,Seat Changed,2024-01-10,First,2.0,4.0,7.0,32,0.21875
PA007,2024-03-24,3860.0,Upgraded,2024-01-14,First,1.0,3.0,8.0,32,0.25
PA007,2024-03-24,3734.0,Booked,2024-01-19,First,7.0,2.0,9.0,32,0.28125
PA007,2024-03-24,8202.0,Booked,2024-01-23,First,3.0,2.0,10.0,32,0.3125
PA007,2024-03-24,2775.0,Seat Changed,2024-01-25,First,5.0,4.0,11.0,32,0.34375
PA007,2024-03-24,1298.0,Booked,2024-02-04,First,7.0,2.0,12.0,32,0.375
PA007,2024-03-24,2322.0,Seat Changed,2024-02-07,First,1.0,4.0,13.0,32,0.40625
PA007,2024-03-24,7182.0,Seat Changed,2024-02-11,First,7.0,2.0,14.0,32,0.4375
PA007,2024-03-24,9387.0,Booked,2024-02-11,First,4.0,3.0,15.0,32,0.46875
PA007,2024-03-24,2681.0,Booked,2024-02-13,First,3.0,3.0,16.0,32,0.5
PA007,2024-03-24,1743.0,Seat Changed,2024-02-14,First,4.0,3.0,17.0,32,0.53125
PA007,2024-03-24,6296.0,Booked,2024-02-15,First,3.0,4.0,18.0,32,0.5625
PA007,2024-03-24,1246.0,Booked,2024-02-16,First,1.0,1.0,19.0,32,0.59375
PA007,2024-03-24,7822.0,Booked,2024-02-18,First,6.0,3.0,20.0,32,0.625
PA007,2024-03-24,2371.0,Booked,2024-02-21,First,1.0,3.0,21.0,32,0.65625
PA007,2024-03-24,7937.0,Booked,2024-02-22,First,4.0,3.0,22.0,32,0.6875
PA007,2024-03-24,3680.0,Seat Changed,2024-02-25,First,7.0,2.0,23.0,32,0.71875
PA007,2024-03-24,3586.0,Seat Changed,2024-03-07,First,8.0,3.0,24.0,32,0.75
PA007,2024-03-24,3642.0,Seat Changed,2024-03-12,First,3.0,4.0,25.0,32,0.78125
PA007,2024-03-24,9890.0,Seat Changed,2024-03-14,First,7.0,1.0,26.0,32,0.8125
PA007,2024-03-24,3530.0,Seat Changed,2024-03-17,First,4.0,4.0,27.0,32,0.84375
PA007,2024-03-24,6212.0,Seat Changed,2024-03-19,First,7.0,3.0,28.0,32,0.875
PA007,2024-03-24,8932.0,Upgraded,2024-03-19,First,5.0,2.0,29.0,32,0.90625
PA007,2024-03-24,797.0,Seat Changed,2024-03-23,First,4.0,1.0,30.0,32,0.9375
PA007,2024-03-24,5657.0,Upgraded,2024-01-01,Premium Economy,21.0,5.0,1.0,64,0.015625
PA007,2024-03-24,1506.0,Upgraded,2024-01-14,Premium Economy,25.0,6.0,2.0,64,0.03125
PA007,2024-03-24,7719.0,Upgraded,2024-01-27,Premium Economy,20.0,3.0,3.0,64,0.046875
PA007,2024-03-24,1808.0,Upgraded,2024-03-03,Premium Economy,22.0,6.0,4.0,64,0.0625
PA007,2024-03-24,3566.0,Upgraded,2024-03-07,Premium Economy,20.0,7.0,5.0,64,0.078125
PA007,2024-03-24,9017.0,Upgraded,2024-03-08,Premium Economy,21.0,2.0,6.0,64,0.09375
PA007,2024-03-24,448.0,Upgraded,2024-03-22,Premium Economy,25.0,5.0,7.0,64,0.109375
PA007,2024-03-24,7926.0,Upgraded,2024-03-24,Premium Economy,20.0,5.0,8.0,64,0.125
PA008,2024-03-30,1710.0,Booked,2023-12-03,Business,10.0,3.0,1.0,40,0.025
PA008,2024-03-30,5424.0,Booked,2023-12-16,Business,18.0,1.0,2.0,40,0.05
PA008,2024-03-30,9890.0,Upgraded,2023-12-16,Business,13.0,2.0,3.0,40,0.075
PA008,2024-03-30,7932.0,Seat Changed,2023-12-17,Business,16.0,4.0,4.0,40,0.1
PA008,2024-03-30,3566.0,Booked,2023-12-29,Business,16.0,2.0,5.0,40,0.125
PA008,2024-03-30,5657.0,Booked,2024-01-10,Business,11.0,4.0,6.0,40,0.15
PA008,2024-03-30,1061.0,Upgraded,2024-01-24,Business,17.0,4.0,7.0,40,0.175
PA008,2024-03-30,7724.0,Seat Changed,2024-02-04,Business,11.0,4.0,8.0,40,0.2
PA008,2024-03-30,2240.0,Seat Changed,2024-02-05,Business,11.0,2.0,9.0,40,0.225
PA008,2024-03-30,7926.0,Seat Changed,2024-02-11,Business,12.0,4.0,10.0,40,0.25
PA008,2024-03-30,7822.0,Upgraded,2024-02-20,Business,16.0,3.0,11.0,40,0.275
PA008,2024-03-30,7622.0,Upgraded,2024-02-25,Business,16.0,1.0,12.0,40,0.3
PA008,2024-03-30,8958.0,Upgraded,2024-03-04,Business,15.0,4.0,13.0,40,0.325
