Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
21/09/2024,PA002,New York,London,Premium Economy,"1,175.00",Yes,0,Vegan
05/07/2024,PA001,London,New York,Premium Economy,850.00,Yes,0,Egg Free
20/08/2024,PA010,Tokyo,New York,Premium Economy,"1,365.00",Yes,0,Egg Free
15/10/2024,PA008,Perth,New York,Business Class,386.40,Yes,3,Egg Free
12/12/2024,PA010,Tokyo,New York,Business Class,793.20,Yes,1,
14/02/2024,PA006,Tokyo,London,Business Class,270.00,Yes,0,Dairy Free
23/11/2024,PA003,London,Perth,Business Class,538.80,Yes,1,Vegetarian
14/02/2024,PA002,New York,London,First Class,296.00,Yes,0,Vegetarian
17/05/2024,PA003,London,Perth,Business Class,379.20,Yes,3,Nut Free
02/06/2024,PA007,New York,Perth,First Class,612.00,Yes,0,Nut Free
23/07/2024,PA005,London,Tokyo,Premium Economy,"1,015.00",Yes,3,Nut Free
21/08/2024,PA012,Tokyo,Perth,Business Class,572.40,Yes,0,
17/03/2024,PA005,London,Tokyo,Economy,"2,380.00",Yes,1,Egg Free
27/11/2024,PA007,New York,Perth,Premium Economy,692.50,Yes,0,Nut Free
25/07/2024,PA009,New York,Tokyo,Business Class,734.40,Yes,2,Vegetarian
13/05/2024,PA006,Tokyo,London,Premium Economy,"1,520.00",Yes,3,Vegetarian
28/09/2024,PA011,Perth,Tokyo,Premium Economy,"1,397.50",Yes,2,Dairy Free
14/06/2024,PA009,New York,Tokyo,First Class,383.00,Yes,0,Dairy Free
08/06/2024,PA007,New York,Perth,Economy,"2,825.00",Yes,2,Vegetarian
09/01/2024,PA002,New York,London,First Class,342.00,Yes,2,Dairy Free
22/11/2024,PA003,London,Perth,Economy,"2,245.00",Yes,1,
04/09/2024,PA002,New York,London,Premium Economy,"1,387.50",Yes,2,Vegetarian
19/09/2024,PA009,New York,Tokyo,Premium Economy,675.00,Yes,2,Egg Free
27/02/2024,PA004,Perth,London,First Class,535.00,Yes,3,Dairy Free
19/10/2024,PA001,London,New York,Premium Economy,545.00,Yes,0,Nut Free
26/03/2024,PA012,Tokyo,Perth,First Class,566.00,Yes,0,Dairy Free
27/09/2024,PA002,New York,London,Premium Economy,625.00,Yes,2,Dairy Free
11/05/2024,PA006,Tokyo,London,First Class,208.00,Yes,0,
25/06/2024,PA012,Tokyo,Perth,Economy,"2,080.00",Yes,0,Vegetarian
03/08/2024,PA002,New York,London,First Class,284.00,Yes,0,
27/04/2024,PA011,Perth,Tokyo,Economy,"3,245.00",Yes,3,Vegetarian
09/04/2024,PA006,Tokyo,London,Premium Economy,710.00,Yes,2,Egg Free
19/11/2024,PA003,London,Perth,Premium Economy,"1,357.50",Yes,3,Vegan
24/06/2024,PA006,Tokyo,London,First Class,245.00,Yes,1,Nut Free
12/02/2024,PA011,Perth,Tokyo,Business Class,505.20,Yes,1,Vegetarian
04/03/2024,PA008,Perth,New York,Business Class,538.80,Yes,0,Egg Free
15/12/2024,PA009,New York,Tokyo,Economy,"1,310.00",Yes,0,Egg Free
25/09/2024,PA008,Perth,New York,First Class,642.00,Yes,3,Vegan
23/02/2024,PA002,New York,London,Premium Economy,547.50,Yes,2,Nut Free
27/01/2024,PA004,Perth,London,Premium Economy,"1,147.50",Yes,2,Nut Free
20/06/2024,PA008,Perth,New York,First Class,217.00,Yes,2,Egg Free
14/10/2024,PA011,Perth,Tokyo,Economy,"2,180.00",Yes,1,Nut Free
01/04/2024,PA004,Perth,London,Business Class,261.60,Yes,0,Dairy Free
04/08/2024,PA011,Perth,Tokyo,Economy,"1,005.00",Yes,1,Dairy Free
09/04/2024,PA007,New York,Perth,Premium Economy,842.50,Yes,3,Egg Free
18/08/2024,PA002,New York,London,Premium Economy,"1,360.00",Yes,0,
17/04/2024,PA002,New York,London,Economy,"1,630.00",Yes,1,Vegan
15/01/2024,PA004,Perth,London,Premium Economy,"1,472.50",Yes,0,Nut Free
10/02/2024,PA009,New York,Tokyo,First Class,368.00,Yes,3,Vegan
02/06/2024,PA006,Tokyo,London,Premium Economy,"1,735.00",Yes,3,Vegan
06/10/2024,PA010,Tokyo,New York,Premium Economy,992.50,Yes,3,Vegan
03/06/2024,PA011,Perth,Tokyo,First Class,201.00,Yes,1,Vegetarian
10/12/2024,PA002,New York,London,Economy,"3,030.00",Yes,2,Dairy Free
21/12/2024,PA001,London,New York,Business Class,655.20,Yes,2,
10/09/2024,PA011,Perth,Tokyo,Business Class,306.00,Yes,0,Dairy Free
12/03/2024,PA006,Tokyo,London,Economy,"3,010.00",Yes,3,Egg Free
17/10/2024,PA005,London,Tokyo,First Class,228.00,Yes,1,
24/08/2024,PA003,London,Perth,Economy,"1,780.00",Yes,3,Dairy Free
11/12/2024,PA004,Perth,London,First Class,595.00,Yes,2,Vegan
01/08/2024,PA003,London,Perth,Economy,"2,170.00",Yes,3,Nut Free
31/07/2024,PA010,Tokyo,New York,Premium Economy,"1,412.50",Yes,0,Vegan
08/10/2024,PA008,Perth,New York,Business Class,249.60,Yes,2,Nut Free
12/12/2024,PA010,Tokyo,New York,Premium Economy,"1,437.50",Yes,1,Egg Free
14/10/2024,PA009,New York,Tokyo,Economy,"1,360.00",Yes,1,Dairy Free
25/10/2024,PA008,Perth,New York,First Class,575.00,Yes,0,Nut Free
07/08/2024,PA002,New York,London,Premium Economy,832.50,Yes,0,
04/12/2024,PA004,Perth,London,Economy,"2,540.00",Yes,3,Vegan
28/07/2024,PA005,London,Tokyo,First Class,263.00,Yes,2,
12/03/2024,PA007,New York,Perth,Economy,"2,640.00",Yes,0,Vegan
11/05/2024,PA003,London,Perth,Economy,"2,885.00",Yes,3,Vegetarian
05/12/2024,PA008,Perth,New York,Economy,"2,200.00",Yes,1,Nut Free
13/03/2024,PA001,London,New York,Premium Economy,"1,422.50",Yes,0,Dairy Free
05/12/2024,PA012,Tokyo,Perth,Economy,"2,230.00",Yes,3,
21/08/2024,PA008,Perth,New York,First Class,300.00,Yes,0,Vegan
31/10/2024,PA010,Tokyo,New York,Premium Economy,780.00,Yes,2,
01/11/2024,PA009,New York,Tokyo,Premium Economy,"1,585.00",Yes,1,Dairy Free
04/06/2024,PA010,Tokyo,New York,First Class,389.00,Yes,1,Egg Free
12/06/2024,PA012,Tokyo,Perth,Business Class,318.00,Yes,1,Nut Free
13/08/2024,PA011,Perth,Tokyo,Economy,"1,165.00",Yes,0,
03/02/2024,PA003,London,Perth,Premium Economy,"1,095.00",Yes,3,
20/08/2024,PA005,London,Tokyo,Premium Economy,"1,632.50",Yes,2,Vegan
20/01/2024,PA004,Perth,London,First Class,440.00,Yes,3,Dairy Free
04/05/2024,PA007,New York,Perth,Premium Economy,"1,680.00",Yes,1,Nut Free
03/01/2024,PA006,Tokyo,London,Economy,"1,280.00",Yes,1,Dairy Free
11/04/2024,PA008,Perth,New York,First Class,676.00,Yes,1,Egg Free
21/03/2024,PA004,Perth,London,Business Class,836.40,Yes,1,Egg Free
09/10/2024,PA011,Perth,Tokyo,Economy,"3,065.00",Yes,3,Dairy Free
31/05/2024,PA007,New York,Perth,Premium Economy,725.00,Yes,3,Dairy Free
19/05/2024,PA005,London,Tokyo,Business Class,424.80,Yes,2,Nut Free
25/01/2024,PA012,Tokyo,Perth,Business Class,358.80,Yes,0,
02/01/2024,PA003,London,Perth,Premium Economy,"1,200.00",Yes,3,Dairy Free
15/05/2024,PA008,Perth,New York,Business Class,427.20,Yes,0,Vegan
24/04/2024,PA010,Tokyo,New York,Economy,"2,130.00",Yes,0,Dairy Free
28/04/2024,PA002,New York,London,Business Class,241.20,Yes,2,Vegetarian
13/12/2024,PA003,London,Perth,Premium Economy,505.00,Yes,2,
20/10/2024,PA011,Perth,Tokyo,First Class,385.00,Yes,2,Dairy Free
27/08/2024,PA002,New York,London,First Class,573.00,Yes,1,Vegan
12/11/2024,PA003,London,Perth,Economy,"2,190.00",Yes,3,Vegetarian
23/07/2024,PA009,New York,Tokyo,Business Class,339.60,Yes,1,Vegetarian
22/02/2024,PA005,London,Tokyo,Business Class,468.00,Yes,1,
18/09/2024,PA001,London,New York,Economy,"1,020.00",Yes,0,Vegetarian
06/12/2024,PA011,Perth,Tokyo,Business Class,601.20,Yes,3,Dairy Free
10/10/2024,PA001,London,New York,Economy,"3,035.00",Yes,3,Vegetarian
14/12/2024,PA007,New York,Perth,Premium Economy,"1,305.00",Yes,2,Nut Free
07/11/2024,PA006,Tokyo,London,First Class,252.00,Yes,0,
21/03/2024,PA003,London,Perth,Business Class,272.40,Yes,2,Nut Free
26/02/2024,PA009,New York,Tokyo,Premium Economy,"1,085.00",Yes,2,Vegan
31/07/2024,PA012,Tokyo,Perth,Premium Economy,817.50,Yes,1,Egg Free
20/01/2024,PA008,Perth,New York,Economy,"2,330.00",Yes,1,Egg Free
26/08/2024,PA007,New York,Perth,Economy,"2,235.00",Yes,1,
05/04/2024,PA005,London,Tokyo,Economy,"3,005.00",Yes,0,
05/01/2024,PA010,Tokyo,New York,First Class,681.00,Yes,0,
02/03/2024,PA006,Tokyo,London,Business Class,558.00,Yes,2,Vegetarian
06/03/2024,PA009,New York,Tokyo,Economy,"1,840.00",Yes,3,Vegetarian
16/04/2024,PA012,Tokyo,Perth,First Class,506.00,Yes,2,Nut Free
29/05/2024,PA007,New York,Perth,Business Class,240.00,Yes,1,Vegetarian
04/01/2024,PA002,New York,London,Premium Economy,"1,635.00",Yes,2,Egg Free
07/07/2024,PA011,Perth,Tokyo,Economy,"2,590.00",Yes,1,Vegetarian
06/10/2024,PA003,London,Perth,Business Class,783.60,Yes,2,Vegan
03/05/2024,PA001,London,New York,Economy,"3,160.00",Yes,2,
09/08/2024,PA011,Perth,Tokyo,First Class,512.00,Yes,0,Egg Free
27/10/2024,PA010,Tokyo,New York,Economy,"1,715.00",Yes,0,Nut Free
10/06/2024,PA009,New York,Tokyo,First Class,517.00,Yes,2,Vegan
20/12/2024,PA006,Tokyo,London,Economy,"2,725.00",Yes,0,Vegetarian
27/11/2024,PA012,Tokyo,Perth,Economy,"2,500.00",Yes,1,Dairy Free
23/03/2024,PA009,New York,Tokyo,Economy,"2,300.00",Yes,1,Dairy Free
06/07/2024,PA003,London,Perth,First Class,305.00,Yes,1,Egg Free
05/12/2024,PA002,New York,London,Business Class,499.20,Yes,0,Vegetarian
09/07/2024,PA012,Tokyo,Perth,Economy,"1,420.00",Yes,0,Nut Free
31/03/2024,PA006,Tokyo,London,First Class,300.00,Yes,0,
06/05/2024,PA004,Perth,London,First Class,591.00,Yes,3,
10/04/2024,PA001,London,New York,Premium Economy,"1,042.50",Yes,0,
16/05/2024,PA003,London,Perth,Economy,"2,925.00",Yes,1,Vegan
01/12/2024,PA008,Perth,New York,First Class,340.00,Yes,1,Egg Free
26/06/2024,PA003,London,Perth,Business Class,463.20,Yes,1,Vegan
21/12/2024,PA001,London,New York,Business Class,325.20,Yes,3,Vegetarian
10/07/2024,PA007,New York,Perth,Economy,"1,600.00",Yes,1,Vegetarian
16/12/2024,PA006,Tokyo,London,Premium Economy,"1,582.50",Yes,0,Nut Free
23/05/2024,PA003,London,Perth,Economy,"2,045.00",Yes,2,
14/08/2024,PA004,Perth,London,Premium Economy,742.50,Yes,2,Vegan
19/09/2024,PA011,Perth,Tokyo,Business Class,332.40,Yes,2,Dairy Free
06/07/2024,PA004,Perth,London,Premium Economy,595.00,Yes,2,Vegan
23/01/2024,PA001,London,New York,Premium Economy,"1,290.00",Yes,3,Vegan
07/07/2024,PA008,Perth,New York,First Class,348.00,Yes,2,Vegetarian
06/11/2024,PA001,London,New York,Economy,"1,245.00",Yes,2,
19/08/2024,PA005,London,Tokyo,Business Class,421.20,Yes,0,Nut Free
06/05/2024,PA002,New York,London,Premium Economy,912.50,Yes,0,Dairy Free
17/12/2024,PA011,Perth,Tokyo,First Class,511.00,Yes,1,Dairy Free
29/07/2024,PA011,Perth,Tokyo,Business Class,337.20,Yes,1,Vegan
08/01/2024,PA008,Perth,New York,Economy,"3,065.00",Yes,1,Vegan
29/12/2024,PA003,London,Perth,Premium Economy,"1,107.50",Yes,1,
29/08/2024,PA006,Tokyo,London,First Class,476.00,Yes,2,Vegan
04/04/2024,PA012,Tokyo,Perth,Business Class,818.40,Yes,1,Egg Free
09/08/2024,PA010,Tokyo,New York,First Class,665.00,Yes,3,Dairy Free
03/04/2024,PA004,Perth,London,First Class,427.00,Yes,1,
06/10/2024,PA009,New York,Tokyo,Economy,"3,165.00",Yes,1,
14/07/2024,PA006,Tokyo,London,First Class,630.00,Yes,1,Egg Free
05/01/2024,PA012,Tokyo,Perth,First Class,436.00,Yes,3,Nut Free
22/03/2024,PA007,New York,Perth,Economy,"2,240.00",Yes,0,Dairy Free
25/05/2024,PA010,Tokyo,New York,Business Class,674.40,Yes,3,
20/03/2024,PA007,New York,Perth,Economy,"1,170.00",Yes,0,
22/10/2024,PA001,London,New York,Premium Economy,952.50,Yes,1,
24/12/2024,PA005,London,Tokyo,First Class,244.00,Yes,0,Vegetarian
01/02/2024,PA005,London,Tokyo,First Class,586.00,Yes,0,Dairy Free
20/02/2024,PA002,New York,London,Premium Economy,"1,737.50",Yes,3,Vegan
15/07/2024,PA006,Tokyo,London,Premium Economy,"1,342.50",Yes,2,Dairy Free
07/01/2024,PA003,London,Perth,Business Class,462.00,Yes,2,
11/07/2024,PA002,New York,London,First Class,494.00,Yes,3,Vegan
08/01/2024,PA007,New York,Perth,Economy,"2,300.00",Yes,1,Vegetarian
19/08/2024,PA002,New York,London,First Class,213.00,Yes,0,Vegetarian
28/06/2024,PA009,New York,Tokyo,Economy,"2,850.00",Yes,1,Vegetarian
23/11/2024,PA003,London,Perth,First Class,646.00,Yes,1,Vegan
11/08/2024,PA012,Tokyo,Perth,Premium Economy,"1,140.00",Yes,2,Egg Free
02/05/2024,PA009,New York,Tokyo,Business Class,706.80,Yes,0,Egg Free
18/07/2024,PA007,New York,Perth,Business Class,709.20,Yes,2,Nut Free
25/11/2024,PA003,London,Perth,Economy,"2,155.00",Yes,2,Nut Free
10/06/2024,PA001,London,New York,Premium Economy,665.00,Yes,0,
20/10/2024,PA001,London,New York,Business Class,451.20,Yes,2,Dairy Free
16/04/2024,PA009,New York,Tokyo,Business Class,282.00,Yes,2,Vegan
26/12/2024,PA006,Tokyo,London,Economy,"2,395.00",Yes,0,Dairy Free
26/03/2024,PA011,Perth,Tokyo,First Class,645.00,Yes,3,Egg Free
23/06/2024,PA007,New York,Perth,First Class,666.00,Yes,1,Egg Free
09/09/2024,PA012,Tokyo,Perth,Business Class,265.20,Yes,1,
15/08/2024,PA006,Tokyo,London,Economy,"1,515.00",Yes,0,Egg Free
09/09/2024,PA009,New York,Tokyo,Premium Economy,"1,557.50",Yes,1,Dairy Free
07/04/2024,PA003,London,Perth,Premium Economy,"1,727.50",Yes,1,
30/04/2024,PA009,New York,Tokyo,Economy,"1,220.00",Yes,3,Vegetarian
28/10/2024,PA010,Tokyo,New York,Business Class,796.80,Yes,2,Dairy Free
16/04/2024,PA008,Perth,New York,Economy,"2,235.00",Yes,1,Egg Free
27/08/2024,PA003,London,Perth,First Class,694.00,Yes,0,Dairy Free
06/02/2024,PA012,Tokyo,Perth,Premium Economy,570.00,Yes,2,Dairy Free
03/09/2024,PA009,New York,Tokyo,Premium Economy,840.00,Yes,0,Nut Free
31/12/2024,PA002,New York,London,Premium Economy,677.50,Yes,3,Nut Free
28/08/2024,PA003,London,Perth,Premium Economy,505.00,Yes,3,
23/10/2024,PA001,London,New York,Economy,"1,155.00",Yes,1,Egg Free
02/10/2024,PA011,Perth,Tokyo,Business Class,679.20,Yes,3,Nut Free
01/04/2024,PA008,Perth,New York,Premium Economy,"1,530.00",Yes,1,Vegetarian
09/05/2024,PA002,New York,London,Economy,"2,585.00",Yes,1,Egg Free
25/04/2024,PA006,Tokyo,London,Economy,"1,650.00",Yes,3,Egg Free
03/05/2024,PA011,Perth,Tokyo,Business Class,627.60,Yes,2,Egg Free
20/06/2024,PA001,London,New York,First Class,456.00,Yes,3,Vegetarian
09/10/2024,PA012,Tokyo,Perth,Premium Economy,980.00,Yes,1,Egg Free
06/05/2024,PA006,Tokyo,London,Premium Economy,832.50,Yes,3,Egg Free
05/08/2024,PA007,New York,Perth,Economy,"1,765.00",Yes,1,Vegetarian
19/10/2024,PA002,New York,London,Premium Economy,650.00,Yes,1,Vegan
03/10/2024,PA007,New York,Perth,First Class,694.00,Yes,3,Nut Free
24/08/2024,PA006,Tokyo,London,Premium Economy,"1,447.50",Yes,3,
19/11/2024,PA005,London,Tokyo,First Class,238.00,Yes,0,Vegetarian
19/06/2024,PA006,Tokyo,London,Economy,"1,705.00",Yes,2,Dairy Free
11/09/2024,PA004,Perth,London,Premium Economy,922.50,Yes,2,Vegetarian
18/07/2024,PA008,Perth,New York,First Class,395.00,Yes,2,Dairy Free
03/05/2024,PA001,London,New York,First Class,567.00,Yes,2,Vegan
07/02/2024,PA009,New York,Tokyo,Business Class,421.20,Yes,0,Vegetarian
06/08/2024,PA002,New York,London,Business Class,586.80,Yes,1,Vegetarian
13/12/2024,PA009,New York,Tokyo,Business Class,604.80,Yes,1,Vegan
04/07/2024,PA007,New York,Perth,Premium Economy,"1,080.00",Yes,3,Vegan
01/07/2024,PA004,Perth,London,Economy,"1,235.00",Yes,1,Vegan
13/08/2024,PA011,Perth,Tokyo,Business Class,768.00,Yes,3,Nut Free
16/12/2024,PA002,New York,London,Premium Economy,620.00,Yes,2,Egg Free
28/02/2024,PA006,Tokyo,London,Economy,"1,695.00",Yes,0,Dairy Free
19/11/2024,PA002,New York,London,Business Class,375.60,Yes,0,Nut Free
27/02/2024,PA009,New York,Tokyo,Business Class,369.60,Yes,1,Dairy Free
08/02/2024,PA006,Tokyo,London,Economy,"1,310.00",Yes,1,Dairy Free
14/02/2024,PA010,Tokyo,New York,Premium Economy,"1,107.50",Yes,1,Vegetarian
15/08/2024,PA012,Tokyo,Perth,Business Class,507.60,Yes,1,Vegan
07/03/2024,PA001,London,New York,Economy,"2,960.00",Yes,1,Egg Free
30/10/2024,PA010,Tokyo,New York,Business Class,402.00,Yes,2,Nut Free
01/05/2024,PA002,New York,London,First Class,277.00,Yes,3,Dairy Free
26/12/2024,PA008,Perth,New York,Business Class,475.20,Yes,1,Vegan
25/07/2024,PA012,Tokyo,Perth,Economy,"3,115.00",Yes,2,
07/09/2024,PA009,New York,Tokyo,Economy,"3,310.00",Yes,0,Vegetarian
22/07/2024,PA006,Tokyo,London,Premium Economy,602.50,Yes,2,
14/03/2024,PA005,London,Tokyo,Premium Economy,"1,457.50",Yes,3,Dairy Free
27/08/2024,PA007,New York,Perth,Business Class,726.00,Yes,3,Dairy Free
23/09/2024,PA009,New York,Tokyo,Premium Economy,"1,275.00",Yes,2,Nut Free
10/10/2024,PA002,New York,London,Economy,"3,000.00",Yes,1,Vegan
12/06/2024,PA009,New York,Tokyo,Premium Economy,"1,715.00",Yes,0,Vegan
31/08/2024,PA004,Perth,London,First Class,599.00,Yes,0,Egg Free
28/01/2024,PA001,London,New York,Premium Economy,"1,395.00",Yes,0,Vegetarian
26/05/2024,PA003,London,Perth,Economy,"2,455.00",Yes,3,Dairy Free
28/08/2024,PA004,Perth,London,Economy,"3,050.00",Yes,3,Egg Free
03/01/2024,PA011,Perth,Tokyo,Economy,"3,500.00",Yes,2,Nut Free
23/12/2024,PA006,Tokyo,London,Business Class,480.00,Yes,2,Dairy Free
10/11/2024,PA007,New York,Perth,Premium Economy,"1,070.00",Yes,3,Vegetarian
26/03/2024,PA003,London,Perth,Business Class,508.80,Yes,1,Dairy Free
14/12/2024,PA011,Perth,Tokyo,Premium Economy,"1,310.00",Yes,3,Vegetarian
10/07/2024,PA005,London,Tokyo,Business Class,787.20,Yes,3,Dairy Free
31/10/2024,PA002,New York,London,First Class,275.00,Yes,1,Nut Free
14/05/2024,PA008,Perth,New York,Premium Economy,"1,477.50",Yes,1,Nut Free
04/04/2024,PA009,New York,Tokyo,Economy,"3,175.00",Yes,0,Vegetarian
20/06/2024,PA006,Tokyo,London,First Class,200.00,Yes,2,Dairy Free
13/02/2024,PA004,Perth,London,Premium Economy,752.50,Yes,0,
14/05/2024,PA006,Tokyo,London,Premium Economy,990.00,Yes,2,Egg Free
29/10/2024,PA001,London,New York,First Class,216.00,Yes,0,Nut Free
10/02/2024,PA005,London,Tokyo,First Class,681.00,Yes,1,Vegetarian
13/08/2024,PA008,Perth,New York,First Class,506.00,Yes,2,Nut Free
03/04/2024,PA001,London,New York,Business Class,298.80,Yes,0,Vegan
19/06/2024,PA009,New York,Tokyo,Premium Economy,"1,275.00",Yes,1,
07/03/2024,PA009,New York,Tokyo,Business Class,332.40,Yes,3,Egg Free
30/08/2024,PA005,London,Tokyo,Economy,"3,315.00",Yes,3,Nut Free
03/06/2024,PA002,New York,London,Economy,"1,230.00",Yes,0,Vegetarian
01/10/2024,PA002,New York,London,Economy,"2,415.00",Yes,0,Vegan
24/04/2024,PA012,Tokyo,Perth,Premium Economy,535.00,Yes,2,Vegan
20/06/2024,PA001,London,New York,Premium Economy,930.00,Yes,0,Vegan
09/10/2024,PA003,London,Perth,Economy,"3,415.00",Yes,3,Vegetarian
20/10/2024,PA005,London,Tokyo,First Class,514.00,Yes,1,Nut Free
15/02/2024,PA009,New York,Tokyo,Economy,"2,980.00",Yes,0,
15/01/2024,PA008,Perth,New York,Business Class,502.80,Yes,3,Vegan
16/08/2024,PA010,Tokyo,New York,Economy,"3,265.00",Yes,2,Vegetarian
02/08/2024,PA008,Perth,New York,Premium Economy,"1,550.00",Yes,1,Dairy Free
13/07/2024,PA005,London,Tokyo,Economy,"1,480.00",Yes,1,Vegetarian
27/01/2024,PA002,New York,London,Business Class,489.60,Yes,1,
19/09/2024,PA002,New York,London,Premium Economy,635.00,Yes,1,Vegetarian
16/08/2024,PA007,New York,Perth,Premium Economy,757.50,Yes,3,Egg Free
15/10/2024,PA009,New York,Tokyo,Premium Economy,870.00,Yes,0,Dairy Free
12/03/2024,PA007,New York,Perth,Business Class,434.40,Yes,1,Nut Free
15/04/2024,PA003,London,Perth,Business Class,249.60,Yes,3,Egg Free
13/05/2024,PA004,Perth,London,Economy,"2,785.00",Yes,3,Vegan
30/08/2024,PA005,London,Tokyo,Business Class,811.20,Yes,3,Vegan
01/10/2024,PA004,Perth,London,First Class,510.00,Yes,1,Vegetarian
19/05/2024,PA010,Tokyo,New York,Premium Economy,"1,555.00",Yes,2,Egg Free
01/06/2024,PA009,New York,Tokyo,First Class,274.00,Yes,3,Vegetarian
11/05/2024,PA005,London,Tokyo,Business Class,706.80,Yes,1,Egg Free
12/09/2024,PA008,Perth,New York,Economy,"1,315.00",Yes,0,Dairy Free
23/08/2024,PA011,Perth,Tokyo,Economy,"1,160.00",Yes,1,Dairy Free
23/09/2024,PA012,Tokyo,Perth,Economy,"3,495.00",Yes,0,Egg Free
27/07/2024,PA003,London,Perth,Premium Economy,"1,232.50",Yes,1,
22/11/2024,PA001,London,New York,Economy,"1,030.00",Yes,1,
29/05/2024,PA010,Tokyo,New York,Economy,"2,765.00",Yes,3,Dairy Free
04/02/2024,PA008,Perth,New York,Economy,"1,295.00",Yes,2,Egg Free
10/09/2024,PA012,Tokyo,Perth,Business Class,420.00,Yes,2,Nut Free
21/12/2024,PA002,New York,London,Business Class,379.20,Yes,0,Dairy Free
25/12/2024,PA003,London,Perth,First Class,473.00,Yes,0,
15/07/2024,PA011,Perth,Tokyo,Premium Economy,"1,670.00",Yes,1,Vegan
09/12/2024,PA003,London,Perth,First Class,602.00,Yes,2,Egg Free
20/09/2024,PA010,Tokyo,New York,First Class,214.00,Yes,3,Dairy Free
23/12/2024,PA009,New York,Tokyo,Premium Economy,952.50,Yes,2,Egg Free
28/11/2024,PA005,London,Tokyo,Economy,"2,830.00",Yes,3,Vegan
03/12/2024,PA002,New York,London,Business Class,710.40,Yes,1,Dairy Free
05/03/2024,PA004,Perth,London,Economy,"2,655.00",Yes,2,Egg Free
08/12/2024,PA009,New York,Tokyo,First Class,644.00,Yes,0,Egg Free
23/07/2024,PA004,Perth,London,Economy,"1,360.00",Yes,3,Nut Free
23/03/2024,PA011,Perth,Tokyo,Premium Economy,572.50,Yes,2,Vegetarian
25/03/2024,PA004,Perth,London,Premium Economy,885.00,Yes,3,Egg Free
